Reference, Value, Footprint, Datasheet, Vend1, Vend1Id, RefPrice1k, MfrId, MfgId, Description
R31,100k,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT100KCT-ND,0.00320,Stackpole,RMCF0805JT100K,
C68,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C65,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C67,1uF ,Capacitors_SMD:C_0805,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10743-2-ND,0.03980,Murata,GRM219R61H105KA73D,
C69,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
R32,2.2k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT2K20CT-ND,0.0032,Stackpole,RMCF0805JT2K20CT,
U11,SiP32408,TDFN4:TDFN4,http://www.vishay.com/docs/63717/sip32408.pdf,Digikey,SIP32408DNP-T1-GE4CT-ND,0.175,SIP32408DNP-T1-GE4,Vishay,
U12,SiP32408,TDFN4:TDFN4,http://www.vishay.com/docs/63717/sip32408.pdf,Digikey,SIP32408DNP-T1-GE4CT-ND,0.175,SIP32408DNP-T1-GE4,Vishay,
C70,10uF ,Capacitors_SMD:C_1206,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10756-2-ND,0.07429,Murata,GRM31CR61H106MA12L,
C71,10uF ,Capacitors_SMD:C_1206,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10756-2-ND,0.07429,Murata,GRM31CR61H106MA12L,
D7,8.5VWM,TO_SOT_Packages_SMD:SOT-23,http://www.onsemi.com/pub_link/Collateral/MMBZ5V6ALT1-D.PDF,Digikey,MMBZ12VALT1GOSCT-ND,.04471,ON Semi,MMBZ12VALT1G,
C73,1uF ,Capacitors_SMD:C_0805,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10743-2-ND,0.03980,Murata,GRM219R61H105KA73D,
CON1,5-24V 5A,Connect:BARREL_JACK,http://katalog.we-online.de/em/datasheet/6941xx105102.pdf,Digikey,732-5932-1-ND,1.13,Wurth,694108105102,
Q4,AOD4189,TO_SOT_Packages_SMD:TO-252-2Lead,http://aosmd.com/res/data_sheets/AOD4189.pdf,Digikey,785-1351-1-ND,0.196,AOD4189,Alpha & Omega,
C72,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
CON2,5-24V 16A,Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_4pol,http://www.diytrade.com/china/pd/11802786/terminal_block_2EDG_5_08_2P_3P_4P_5P_6P_7P_8P_9P_10P_11P_12P_13P_14P.html,eBay,http://www.ebay.com/itm/331290774584,0.23,E-xun,2EDG-3.81,4way 4pin Screw PCB Terminal Block Connector 3.81mm Pitch Pluggable Type
D8,8.5VWM,TO_SOT_Packages_SMD:SOT-23,http://www.onsemi.com/pub_link/Collateral/MMBZ5V6ALT1-D.PDF,Digikey,MMBZ12VALT1GOSCT-ND,.04471,ON Semi,MMBZ12VALT1G,
R33,100k,Resistors_SMD:R_0805,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT100KCT-ND,0.00320,Stackpole,RMCF0805JT100K,
FB8,Ferrite bead,Resistors_SMD:R_0805,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/bead/__icsFiles/afieldfile/2014/11/13&fileName=S_CIS21J121NE.pdf,Digikey,1276-6370-1-ND,0.02383,Samsung,CIS21P300NE,
FB9,Ferrite bead,Resistors_SMD:R_0805,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/bead/__icsFiles/afieldfile/2014/11/13&fileName=S_CIS21J121NE.pdf,Digikey,1276-6370-1-ND,0.02383,Samsung,CIS21P300NE,
C77,1uF ,Capacitors_SMD:C_0805,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10743-2-ND,0.03980,Murata,GRM219R61H105KA73D,
