Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,50,1276-6370-1-ND,FERRITE CHIP 30 OHM 6000MA 0805,,50,0,0.05640,2.82,
2,10,490-7989-1-ND,CAP CER 1000PF 250VAC SL 1808,,10,0,0.71700,7.17,
3,50,493-6180-1-ND,CAP ALUM 22UF 20% 50V SMD,,50,0,0.24320,12.16,
4,10,497-3735-1-ND,IC TXRX 5V RS485/422 ESD 8-SOIC,,10,0,0.78700,7.87,
5,25,507-1797-1-ND,PTC RESTTBLE 0.20A 30V CHIP 1206,,25,0,0.09920,2.48,
6,100,568-5818-1-ND,MOSFET N-CH 60V 0.36A SOT-23,,100,0,0.07000,7.00,
7,20,AP2204K-5.0TRG1DICT-ND,IC REG LDO 5V 0.15A SOT25,,20,0,0.36300,7.26,
8,20,BAT54A-FDICT-ND,DIODE ARRAY SCHOTTKY 30V SOT23-3,,20,0,0.17000,3.40,
9,20,DMN3190LDW-7DICT-ND,MOSFET 2N-CH 30V 1A SOT363,,20,0,0.33000,6.60,
