Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,10,CLY6D-FKC-CK1N1D1BB7D3D3CT-ND,MSMD LED 3 IN 1 PLCC6,,10,0,0.49000,4.90,
2,100,RMCF0805JT750RCT-ND,RES SMD 750 OHM 5% 1/8W 0805,,100,0,0.00880,0.88,
3,100,RMCF0805JT240RCT-ND,RES SMD 240 OHM 5% 1/8W 0805,,100,0,0.00880,0.88,
